"t"	"thtlc"	"el"	"ail"	"rdr"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
0.000000000000000e+00	0.000000000000000e+00	-1.814230221579849e-02	0.000000000000000e+00	0.000000000000000e+00	5.400000000000000e+02	3.702715473500000e-02	0.000000000000000e+00	7.853981633975000e-01	-1.256637061436000e+00	-7.853981633975000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.600000000000000e+03	9.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000000000000e-02	0.000000000000000e+00	-1.928366262571467e-02	-8.586016136387515e-05	5.834098062784070e-05	5.403063516177598e+02	3.637349982840134e-02	1.298763581802244e-04	7.854132022315226e-01	-1.256641989069051e+00	-7.854139853933969e-01	-2.587565581022988e-06	-1.363002517553657e-03	8.130077952558742e-06	9.861348023915688e-01	-1.183991051217400e+00	3.594822911091005e+03	8.910448500385895e+00	2.051489754365416e-03	-8.856282305713283e-09	5.187522476419185e-07
2.000000000000000e-02	0.000000000000000e+00	-2.041199241289801e-02	-1.711856005437820e-04	1.245533961295602e-04	5.406124817365569e+02	3.571732960209090e-02	2.590533612908853e-04	7.854558558240188e-01	-1.256656133036326e+00	-7.854588938798165e-01	-9.389133069863247e-06	-2.575669540518303e-03	3.221817362195772e-05	1.976254651073936e+00	-2.367912618626651e+00	3.589643370225796e+03	8.821788339489297e+00	4.011970585808482e-03	-6.649245803649065e-08	2.116226343324774e-06
2.999999999999999e-02	0.000000000000000e+00	-2.152512179907905e-02	-2.555731367928321e-04	1.984049836610214e-04	5.409183851294662e+02	3.505987777722733e-02	3.873803653064043e-04	7.855225551994062e-01	-1.256678564453468e+00	-7.855291733363042e-01	-1.915767633364194e-05	-3.642296291227922e-03	7.180453649098046e-05	2.970311498094067e+00	-3.551766534997916e+00	3.584461370676393e+03	8.734011399246219e+00	5.883097126908895e-03	-2.093132665498833e-07	4.849015397469100e-06
4.000000000000000e-02	0.000000000000000e+00	-2.262107641022117e-02	-3.386592244806549e-04	2.796465271245067e-04	5.412240567728923e+02	3.440233295865955e-02	5.147129919157089e-04	7.856098040246796e-01	-1.256708366640723e+00	-7.856211725242469e-01	-3.085511341615340e-05	-4.567555099979508e-03	1.263879966962942e-04	3.968252561321313e+00	-4.735554690953202e+00	3.579276909468962e+03	8.647108321351533e+00	7.666719888106304e-03	-4.626258215994955e-07	8.765787469771526e-06
5.000000000000000e-02	0.000000000000000e+00	-2.369808501166034e-02	-4.201229929505795e-04	3.680175814747336e-04	5.415294918725781e+02	3.374582582803146e-02	6.409143426902555e-04	7.857142212045404e-01	-1.256744648045847e+00	-7.857313512428490e-01	-4.363742068546880e-05	-5.356380344032317e-03	1.954377718820990e-04	4.970022154317993e+00	-5.919278989231604e+00	3.574089986640746e+03	8.561068882579134e+00	9.364833483853545e-03	-8.424114764907845e-07	1.390744491630679e-05
6.000000000000000e-02	0.000000000000000e+00	-2.475448034420990e-02	-4.996769936339337e-04	4.632776281398826e-04	5.418346848760731e+02	3.309143810242721e-02	7.658494724959636e-04	7.858326025893494e-01	-1.256786568109133e+00	-7.858563478506099e-01	-5.683088495541907e-05	-6.013364539769108e-03	2.784570370134941e-04	5.975578385158123e+00	-7.102941071206804e+00	3.568900594375244e+03	8.475885766247679e+00	1.097920308976111e-02	-1.357781058577385e-06	2.031299732097916e-05
7.000000000000001e-02	0.000000000000000e+00	-2.578878115300393e-02	-5.770731844547495e-04	5.651727055201900e-04	5.421396306232313e+02	3.244019800884543e-02	8.893906991073114e-04	7.859618379776888e-01	-1.256833306910476e+00	-7.859928930300264e-01	-6.990422726092640e-05	-6.543387423313023e-03	3.749158669148355e-04	6.984875070740119e+00	-8.286542614766830e+00	3.563708728644601e+03	8.391550474310430e+00	1.251176555039302e-02	-2.011869400398257e-06	2.801405050467447e-05
8.000000000000000e-02	0.000000000000000e+00	-2.679966154224222e-02	-6.520992132019818e-04	6.734470190984828e-04	5.424443240653793e+02	3.179307866203995e-02	1.011416399479128e-03	7.860989454654544e-01	-1.256884077649188e+00	-7.861378475792357e-01	-8.244980505493944e-05	-6.951383415836601e-03	4.842756536216007e-04	7.997867416993720e+00	-9.470085234192974e+00	3.558514385690080e+03	8.308054597423755e+00	1.396449493891473e-02	-2.803369714823330e-06	3.703677483570473e-05
9.000000000000000e-02	0.000000000000000e+00	-2.778593983819532e-02	-7.245755376407367e-04	7.878427277851979e-04	5.427487602899965e+02	3.115100090026311e-02	1.131810700968589e-03	7.862410633583516e-01	-1.256938124971477e+00	-7.862881951287677e-01	-9.416325911346759e-05	-7.242335647314960e-03	6.059894662248283e-04	9.014511927346248e+00	-1.065357048184216e+01	3.553317562015631e+03	8.225389794493903e+00	1.533940275709997e-02	-3.727652195123647e-06	4.740225854008754e-05
9.999999999999999e-02	0.000000000000000e+00	-2.874657150200634e-02	-7.943530921085325e-04	9.081002667282852e-04	5.430529345511034e+02	3.051483373021362e-02	1.250463471773228e-03	7.863854495778000e-01	-1.256994725148955e+00	-7.864410425186853e-01	-1.048268625775994e-04	-7.421259919577415e-03	7.395035353211005e-04	1.003476643228143e+01	-1.183699984583436e+01	3.548118254380259e+03	8.143547795084602e+00	1.663853376604417e-02	-4.777678087410276e-06	5.912676303030857e-05
