"t"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
0.000000000000000e+00	3.064606713527346e+01	-6.519699020917544e-02	1.301741250603307e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-1.439583688984858e-01	0.000000000000000e+00	9.841254752034200e+01	-1.184026425758657e+02	-5.175864997482144e+02	-9.000000000000000e+00	2.097542164251680e-01	0.000000000000000e+00	0.000000000000000e+00
1.000000000000000e-02	3.062417542789848e+01	-6.551259653714321e-02	1.295533517657292e-02	2.942478445791574e-03	-9.694449146416261e-04	-3.100627177080219e-03	-1.260691787719267e-03	-1.287125305833033e-01	1.597822791059939e-03	9.881354001771915e+01	-1.183955994864133e+02	-5.178313624433259e+02	-8.910448500403357e+00	2.005713442224606e-01	-6.417998991778511e-06	9.657537833492265e-05
2.000000000000000e-02	3.060178577159031e+01	-6.570194702442730e-02	1.287774411107579e-02	5.511899832417873e-03	-1.843686742065165e-03	-5.821639774158673e-03	-2.410987275265179e-03	-1.139009012570294e-01	3.157469434202431e-03	9.920933131696745e+01	-1.183887475710105e+02	-5.180767013111448e+02	-8.821788288619777e+00	1.915585280270833e-01	-2.494330361064242e-05	2.009517881304555e-04
2.999999999999999e-02	3.057888506198464e+01	-6.577010371887140e-02	1.278511661895142e-02	7.719855385318436e-03	-2.625460072796167e-03	-8.174092766073129e-03	-3.457115260869397e-03	-9.953945298303765e-02	4.677222636958794e-03	9.960003844838673e+01	-1.183820830735379e+02	-5.183225001601595e+02	-8.734011129619148e+00	1.827219370769220e-01	-5.454430030855480e-05	3.126463246435345e-04
3.999999999999999e-02	3.055546568153156e+01	-6.572235594790744e-02	1.267796036920754e-02	9.578570047986018e-03	-3.317745887363392e-03	-1.016976097929875e-02	-4.405170719164376e-03	-8.564137307563145e-02	6.155528215219586e-03	9.998578968099602e+01	-1.183756014380588e+02	-5.185687404792917e+02	-8.647107743595557e+00	1.740670528211223e-01	-9.423078750069227e-05	4.311702371796513e-04
5.000000000000000e-02	3.053152562314439e+01	-6.556394535027681e-02	1.255678100763717e-02	1.110012522047084e-02	-3.923558759292382e-03	-1.182034605418289e-02	-5.260935402159825e-03	-7.221803931516264e-02	7.590914676055184e-03	1.003667129293485e+02	-1.183692979880307e+02	-5.188154031344720e+02	-8.561069560041046e+00	1.655990508521601e-01	-1.430783305387476e-04	5.560443086808421e-04
6.000000000000000e-02	3.050706746519631e+01	-6.530034617245156e-02	1.242212007654456e-02	1.229737450586910e-02	-4.446166848523418e-03	-1.313840993981153e-02	-6.030065462986994e-03	-5.927766401542911e-02	8.982130934554744e-03	1.007429497209492e+02	-1.183631670766722e+02	-5.190624666316065e+02	-8.475886253678995e+00	1.573221607700239e-01	-2.002012287744420e-04	6.867837885702710e-04
7.000000000000001e-02	3.048209889370749e+01	-6.493665283868540e-02	1.227447564132753e-02	1.318203838228509e-02	-4.888592147126204e-03	-1.413541662718772e-02	-6.717740811630602e-03	-4.682845194863876e-02	1.032785705910541e-02	1.011146255985314e+02	-1.183572038869295e+02	-5.193099110242880e+02	-8.391550748020890e+00	1.492410143804674e-01	-2.647969423408770e-04	8.229292947727451e-04
8.000000000000000e-02	3.045663129814532e+01	-6.447811482113508e-02	1.211437342536109e-02	1.376641696950161e-02	-5.254036788522021e-03	-1.482348374982599e-02	-7.328997678490685e-03	-3.487596051038667e-02	1.162696279005473e-02	1.014818764397985e+02	-1.183514028375358e+02	-5.195577145835975e+02	-8.308054645204718e+00	1.413594416439476e-01	-3.360997378894956e-04	9.640188655822019e-04
9.000000000000000e-02	3.043067956379715e+01	-6.392995843916487e-02	1.194234421929691e-02	1.406284999303454e-02	-5.545734557381577e-03	-1.521482424403824e-02	-7.868639032416339e-03	-2.342405807933156e-02	1.287842524287748e-02	1.018448399847186e+02	-1.183457580993428e+02	-5.198058549426771e+02	-8.225389616597360e+00	1.336808557359457e-01	-4.133906999598109e-04	1.109596733297369e-03
9.999999999999999e-02	3.040426162142050e+01	-6.329737697734963e-02	1.175892334948125e-02	1.408370581696074e-02	-5.766938828446972e-03	-1.532173113894083e-02	-8.341240704345146e-03	-1.247502522969591e-02	1.408132702091441e-02	1.022036555537102e+02	-1.183402636134209e+02	-5.200543091863717e+02	-8.143547397617599e+00	1.262082622276610e-01	-4.959950205090843e-04	1.259213521092801e-03
1.100000000000000e-01	3.037739803283752e+01	-6.258551643901669e-02	1.156464963720488e-02	1.384135766273305e-02	-5.920908290932128e-03	-1.515654976036956e-02	-8.751153827039752e-03	-2.029652926240660e-03	1.523485486486707e-02	1.025584636308222e+02	-1.183349131162587e+02	-5.203030539662948e+02	-8.062519793074649e+00	1.189442659791822e-01	-5.832800591791352e-04	1.412426841896705e-03
1.200000000000000e-01	3.035011158898868e+01	-6.179946394435995e-02	1.136006454420816e-02	1.334816395458652e-02	-6.010894751697517e-03	-1.473165411257229e-02	-9.102509092996047e-03	7.912659439090633e-03	1.633829781822845e-02	1.029094055072640e+02	-1.183297001620271e+02	-5.205520655994039e+02	-7.982298680605971e+00	1.118910799026134e-01	-6.746531710384577e-04	1.568801751360115e-03
